call_id,caller_id,receiver_id,timestamp,duration_sec,call_type,status
C0000031,P08569,P00704,2025-11-02 06:44:06,463,Voice,Answered
C0000032,P07159,P04273,2025-02-24 11:47:47,445,SMS,Answered
C0000033,P09082,P04671,2025-07-25 23:35:29,148,VoIP,Missed
C0000034,P07538,P05289,2025-01-03 00:55:35,166,Voice,Missed
C0000035,P09789,P02642,2025-12-15 14:52:33,547,Voice,Answered
C0000036,P03917,P06377,2025-09-03 09:02:27,137,Voice,Answered
C0000037,P02241,P09133,2025-07-16 00:00:40,141,Voice,Answered
C0000038,P00783,P04134,2025-09-24 05:02:07,788,Voice,Answered
C0000039,P05633,P06823,2025-11-30 02:39:25,261,Voice,Answered
C0000040,P07706,P06931,2025-11-26 23:43:48,241,VoIP,Missed
C0000041,P01104,P03634,2025-02-02 18:21:09,467,SMS,Answered
C0000042,P00786,P07795,2025-05-18 10:32:33,683,Voice,Voicemail
C0000043,P00474,P07573,2025-04-26 10:53:27,437,Voice,Answered
C0000044,P00860,P08964,2025-10-02 14:41:53,614,Voice,Answered
C0000045,P09042,P02318,2025-10-08 19:43:18,383,Voice,Answered
C0000046,P00762,P07264,2025-05-01 19:31:37,223,Voice,Answered
C0000047,P07818,P01067,2025-05-24 09:37:40,528,Voice,Missed
C0000048,P04525,P00571,2025-03-08 05:06:25,336,VoIP,Answered
C0000049,P09218,P05115,2025-10-07 23:12:29,130,SMS,Voicemail
C0000050,P07476,P07519,2025-09-25 02:14:05,829,Voice,Answered
C0000051,P09993,P02974,2025-06-21 01:04:20,750,Voice,Voicemail
C0000052,P00050,P05415,2025-02-01 02:39:36,177,SMS,Answered
C0000053,P04927,P06636,2025-01-14 01:48:24,693,Voice,Answered
C0000054,P05773,P01095,2025-03-25 22:19:51,747,SMS,Missed
C0000055,P08743,P04549,2025-06-01 05:10:08,206,Voice,Answered
C0000056,P01884,P06366,2025-03-06 02:29:47,788,VoIP,Answered
C0000057,P05558,P09740,2025-04-23 10:37:25,472,Voice,Answered
C0000058,P05198,P03078,2025-06-13 13:13:36,145,Voice,Voicemail
C0000059,P05484,P02822,2025-05-22 20:05:30,602,Voice,Answered
C0000060,P09780,P09430,2025-06-06 09:01:53,166,SMS,Answered
C0000061,P04950,P07940,2025-10-11 22:52:25,463,Voice,Answered
C0000062,P03581,P03544,2025-06-21 14:31:48,252,Voice,Answered
C0000063,P09251,P06204,2025-07-01 09:24:57,500,Voice,Answered
C0000064,P03814,P00430,2025-05-03 15:56:33,877,VoIP,Missed
C0000065,P08801,P07724,2025-10-29 09:43:22,380,Voice,Answered
C0000066,P03509,P01717,2025-01-06 08:14:28,214,VoIP,Answered
C0000067,P03658,P07808,2025-03-15 21:17:38,102,SMS,Answered
C0000068,P00415,P09742,2025-04-16 09:21:48,543,Voice,Answered
C0000069,P07219,P01529,2025-06-24 15:56:49,302,Voice,Answered
C0000070,P02539,P01196,2025-09-19 12:46:47,868,Voice,Answered
C0000071,P00588,P04157,2025-05-12 18:58:28,701,VoIP,Answered
C0000072,P07371,P08937,2025-06-23 06:58:42,412,Voice,Answered
C0000073,P00058,P06239,2025-02-23 08:51:34,269,SMS,Answered
C0000074,P04153,P00063,2025-04-11 02:33:43,205,Voice,Answered
C0000075,P05737,P04149,2025-02-16 18:45:22,590,Voice,Answered
C0000076,P03941,P08044,2025-08-29 06:48:44,655,VoIP,Answered
C0000077,P09503,P06673,2025-03-10 18:14:14,377,Voice,Answered
C0000078,P08770,P05807,2025-01-26 16:26:09,865,Voice,Answered
C0000079,P04012,P04125,2025-10-12 03:43:27,257,Voice,Answered
C0000080,P01414,P03376,2025-08-21 12:35:24,356,Voice,Answered
C0000081,P04759,P04563,2025-06-03 06:00:19,336,Voice,Missed
C0000082,P05101,P05379,2025-09-09 09:08:07,640,VoIP,Answered
C0000083,P06744,P09165,2025-03-27 20:49:24,37,Voice,Answered
C0000084,P03861,P01716,2025-09-09 21:51:25,811,Voice,Answered
C0000085,P07497,P07065,2025-12-26 07:29:21,891,Voice,Answered
C0000086,P03480,P03553,2025-09-26 09:42:31,773,Voice,Answered
C0000087,P07402,P00589,2025-06-25 22:17:28,443,Voice,Answered
C0000088,P00951,P00952,2025-01-17 04:45:07,866,Voice,Answered
C0000089,P01392,P08399,2025-01-21 22:51:22,94,Voice,Missed
C0000090,P01662,P00264,2025-10-05 15:24:15,364,Voice,Answered
C0000091,P07827,P04688,2025-08-22 21:19:18,749,Voice,Answered
C0000092,P01602,P05312,2025-09-05 16:31:03,778,Voice,Answered
C0000093,P06879,P09185,2025-06-08 12:25:44,117,Voice,Answered
C0000094,P00645,P01535,2025-08-14 05:58:41,333,VoIP,Answered
C0000095,P05296,P05737,2025-04-10 14:01:16,700,Voice,Answered
C0000096,P07354,P00226,2025-11-21 15:20:44,884,Voice,Missed
C0000097,P05695,P07543,2025-06-13 07:41:35,31,Voice,Answered
C0000098,P06152,P07110,2025-10-24 01:42:55,896,Voice,Answered
C0000099,P02654,P02655,2025-03-06 23:59:46,502,Voice,Answered
C0000100,P08095,P02255,2025-12-15 14:42:26,608,Voice,Answered
C0000101,P05612,P05331,2025-10-14 21:21:34,882,Voice,Answered
C0000102,P02507,P09040,2025-08-05 08:38:28,619,Voice,Answered
C0000103,P07000,P00386,2025-02-20 19:48:32,321,Voice,Answered
C0000104,P05026,P04230,2025-01-07 02:44:54,648,SMS,Missed
C0000105,P09080,P07088,2025-06-10 11:16:40,550,Voice,Answered
C0000106,P01045,P08631,2025-03-22 14:50:35,482,SMS,Answered
C0000107,P03403,P03936,2025-03-13 10:53:48,268,Voice,Answered
C0000108,P06724,P02525,2025-02-09 16:19:41,303,Voice,Answered
C0000109,P02742,P05573,2025-03-15 03:53:57,751,Voice,Answered
C0000110,P05957,P08051,2025-11-24 09:51:59,367,Voice,Answered
C0000111,P05038,P05221,2025-02-04 12:30:28,666,Voice,Answered
C0000112,P00995,P04810,2025-01-18 23:36:01,295,Voice,Answered
C0000113,P00335,P09858,2025-02-07 00:24:34,419,Voice,Answered
C0000114,P05026,P03523,2025-06-13 05:46:23,637,VoIP,Answered
C0000115,P09962,P04952,2025-11-04 03:51:42,600,Voice,Answered
C0000116,P05240,P06111,2025-03-09 02:47:56,122,Voice,Answered
C0000117,P02931,P04389,2025-02-03 11:03:35,320,Voice,Answered
C0000118,P06174,P04043,2025-05-30 19:53:30,95,Voice,Answered
C0000119,P09868,P04876,2025-11-19 11:00:55,597,SMS,Answered
C0000120,P07573,P09451,2025-06-14 11:27:04,52,Voice,Answered
C0000121,P07036,P04379,2025-02-04 11:05:28,818,Voice,Missed
C0000122,P04338,P02719,2025-05-24 01:08:14,207,Voice,Answered
C0000123,P04507,P03188,2025-09-10 16:07:51,456,Voice,Answered
C0000124,P09657,P03800,2025-07-12 14:41:57,35,VoIP,Answered
C0000125,P09934,P04800,2025-10-27 12:58:34,240,Voice,Missed
C0000126,P02539,P05761,2025-08-11 20:26:17,627,VoIP,Answered
C0000127,P05996,P03198,2025-04-08 10:28:48,491,Voice,Missed
C0000128,P04321,P01078,2025-06-01 11:37:23,450,SMS,Answered
C0000129,P00148,P00477,2025-10-21 07:30:15,192,Voice,Answered
C0000130,P04698,P08014,2025-07-15 00:11:55,845,Voice,Answered
C0000131,P06014,P07128,2025-01-02 13:54:43,723,VoIP,Answered
C0000132,P00360,P06886,2025-06-07 15:34:28,444,Voice,Answered
C0000133,P02781,P03786,2025-12-26 19:31:19,45,Voice,Answered
C0000134,P09902,P04860,2025-06-05 19:54:26,418,Voice,Answered
C0000135,P00953,P02959,2025-05-20 16:55:07,745,SMS,Missed
C0000136,P01557,P04942,2025-04-06 14:06:00,820,Voice,Answered
C0000137,P00446,P00332,2025-02-09 03:25:02,596,Voice,Answered
C0000138,P02985,P07217,2025-05-14 07:03:54,729,VoIP,Answered
C0000139,P00565,P07770,2025-08-10 13:58:23,299,SMS,Answered
C0000140,P05859,P07009,2025-12-23 19:54:12,526,Voice,Missed
C0000141,P07604,P03572,2025-04-23 15:12:49,866,Voice,Answered
C0000142,P06957,P02050,2025-01-25 23:13:02,493,VoIP,Answered
C0000143,P09254,P00820,2025-03-19 16:28:36,414,Voice,Answered
C0000144,P01853,P04294,2025-07-29 04:55:36,869,Voice,Answered
C0000145,P05115,P06813,2025-01-07 04:58:08,567,Voice,Answered
C0000146,P00635,P07093,2025-02-09 04:56:49,158,Voice,Answered
C0000147,P00410,P01426,2025-07-24 04:48:55,805,VoIP,Answered
C0000148,P07111,P00300,2025-01-17 00:31:03,638,Voice,Answered
C0000149,P06008,P09010,2025-04-20 17:30:42,666,Voice,Answered
C0000150,P05241,P01834,2025-12-13 11:31:17,473,Voice,Answered
C0000151,P04802,P07457,2025-06-26 02:13:33,78,Voice,Answered
C0000152,P04941,P09475,2025-05-01 14:48:10,340,Voice,Answered
C0000153,P06746,P07863,2025-05-02 05:58:11,5,SMS,Answered
C0000154,P06984,P05270,2025-07-25 06:56:32,160,Voice,Answered
C0000155,P07294,P06395,2025-12-26 11:51:30,398,Voice,Answered
C0000156,P04537,P01424,2025-09-01 11:22:16,809,VoIP,Answered
C0000157,P01219,P06002,2025-06-05 00:22:55,762,Voice,Missed
C0000158,P01216,P09783,2025-05-16 20:52:47,207,VoIP,Voicemail
C0000159,P02941,P03727,2025-09-10 21:37:46,81,Voice,Answered
C0000160,P04897,P07849,2025-05-11 05:44:07,178,VoIP,Answered
C0000161,P01030,P07915,2025-04-09 02:53:33,306,Voice,Answered
C0000162,P01037,P00516,2025-05-06 07:00:20,879,Voice,Answered
C0000163,P01014,P02666,2025-02-19 13:16:32,566,Voice,Voicemail
C0000164,P07443,P03293,2025-12-21 22:49:05,863,Voice,Answered
C0000165,P02543,P05201,2025-01-08 13:11:15,856,Voice,Answered
C0000166,P02302,P05899,2025-12-11 01:39:04,570,VoIP,Answered
C0000167,P09467,P08411,2025-07-03 16:27:34,285,VoIP,Answered
C0000168,P09245,P08006,2025-04-05 02:23:38,407,Voice,Answered
C0000169,P02937,P03351,2025-08-14 02:08:15,414,VoIP,Answered
C0000170,P05029,P08496,2025-03-28 12:20:05,128,SMS,Answered
C0000171,P05425,P01612,2025-07-22 03:53:34,235,Voice,Answered
C0000172,P01032,P07111,2025-11-28 13:10:17,506,Voice,Answered
C0000173,P03195,P00453,2025-01-02 23:06:26,525,VoIP,Answered
C0000174,P04898,P04776,2025-11-08 18:50:37,596,Voice,Answered
C0000175,P07944,P04330,2025-12-06 14:26:26,837,VoIP,Answered
C0000176,P09742,P00939,2025-06-03 23:16:46,674,Voice,Voicemail
C0000177,P06332,P01063,2025-12-01 09:06:51,768,VoIP,Answered
C0000178,P08201,P00499,2025-08-16 19:56:28,423,Voice,Answered
C0000179,P08330,P08140,2025-12-26 08:00:32,243,VoIP,Answered
C0000180,P06240,P08696,2025-05-21 02:54:24,667,VoIP,Answered
C0000181,P02907,P02908,2025-06-20 06:56:56,723,SMS,Answered
C0000182,P08924,P09383,2025-01-18 09:14:56,472,Voice,Answered
C0000183,P02942,P09057,2025-05-01 23:02:40,792,VoIP,Voicemail
C0000184,P02613,P01394,2025-10-12 10:11:58,11,Voice,Answered
C0000185,P00575,P01285,2025-05-14 01:56:08,160,Voice,Answered
C0000186,P01140,P07087,2025-04-21 17:33:30,401,Voice,Missed
C0000187,P09771,P02936,2025-03-15 21:05:25,643,Voice,Answered
C0000188,P05499,P09468,2025-06-18 06:50:56,655,Voice,Answered
C0000189,P07194,P04993,2025-04-10 22:52:36,438,Voice,Answered
C0000190,P00719,P02450,2025-09-22 06:58:42,761,VoIP,Answered
C0000191,P02548,P06626,2025-04-05 06:42:58,449,Voice,Answered
C0000192,P08820,P01570,2025-02-07 21:59:06,8,Voice,Missed
C0000193,P02775,P07486,2025-04-17 02:52:09,287,SMS,Answered
C0000194,P07378,P00698,2025-07-06 18:28:07,454,Voice,Missed
C0000195,P01300,P03338,2025-03-17 14:47:13,520,Voice,Answered
C0000196,P08663,P09906,2025-02-11 16:08:16,639,SMS,Answered
C0000197,P07289,P08820,2025-02-16 06:41:27,111,Voice,Voicemail
C0000198,P08439,P00732,2025-03-11 04:25:05,375,Voice,Missed
C0000199,P08657,P05625,2025-11-27 16:57:19,697,SMS,Answered
C0000200,P06975,P06578,2025-03-25 07:57:16,508,VoIP,Answered
C0000201,P08424,P08041,2025-05-18 10:27:03,208,SMS,Answered
C0000202,P04965,P01982,2025-09-20 05:55:31,163,Voice,Answered
C0000203,P01953,P03594,2025-10-03 23:07:22,658,Voice,Answered
C0000204,P05549,P05378,2025-10-07 01:14:12,861,Voice,Answered
C0000205,P01046,P04905,2025-12-27 20:00:22,557,Voice,Answered
C0000206,P08619,P09343,2025-09-13 10:00:23,896,Voice,Answered
C0000207,P02155,P05143,2025-08-29 21:22:46,46,Voice,Answered
C0000208,P03091,P08642,2025-12-08 07:10:39,748,Voice,Voicemail
C0000209,P06455,P04297,2025-08-22 13:15:35,645,SMS,Answered
C0000210,P02416,P00092,2025-02-02 03:04:29,652,Voice,Answered
C0000211,P08215,P01422,2025-04-18 03:57:38,455,Voice,Answered
C0000212,P06378,P02893,2025-11-20 15:13:57,279,VoIP,Answered
C0000213,P02881,P01799,2025-01-03 18:57:35,234,Voice,Answered
C0000214,P04465,P05131,2025-08-23 09:42:43,581,VoIP,Answered
C0000215,P03088,P08152,2025-05-07 22:04:09,60,VoIP,Missed
C0000216,P08745,P02071,2025-02-09 19:46:17,39,Voice,Missed
C0000217,P04810,P07104,2025-12-29 07:49:29,882,Voice,Answered
C0000218,P07581,P06274,2025-05-21 16:26:11,275,Voice,Voicemail
C0000219,P06049,P00330,2025-01-21 09:33:26,760,Voice,Answered
C0000220,P07747,P01656,2025-11-22 13:11:50,199,Voice,Missed
C0000221,P04890,P06074,2025-08-23 18:35:35,374,Voice,Answered
C0000222,P01577,P01430,2025-01-31 16:05:23,81,Voice,Answered
C0000223,P04853,P02667,2025-02-28 17:21:10,842,Voice,Missed
C0000224,P03251,P02415,2025-01-28 05:18:51,874,Voice,Answered
C0000225,P05574,P07505,2025-02-13 13:02:58,669,Voice,Answered
C0000226,P03809,P00080,2025-02-18 08:20:08,240,VoIP,Answered
C0000227,P07552,P08783,2025-10-25 21:06:01,323,Voice,Answered
C0000228,P07173,P09413,2025-12-25 20:37:53,82,Voice,Answered
C0000229,P04589,P06747,2025-07-09 07:52:26,129,Voice,Answered
C0000230,P02259,P03770,2025-09-21 01:51:32,318,Voice,Voicemail
C0000231,P04980,P06083,2025-02-25 07:58:16,736,VoIP,Answered
C0000232,P09865,P05195,2025-06-05 11:26:01,48,SMS,Answered
C0000233,P09191,P07204,2025-02-20 09:10:19,498,Voice,Answered
C0000234,P03498,P08521,2025-08-27 04:33:00,426,SMS,Answered
C0000235,P07503,P07712,2025-06-10 15:11:24,232,Voice,Answered
C0000236,P02952,P09103,2025-02-28 19:52:43,844,SMS,Answered
C0000237,P07625,P02778,2025-01-13 16:05:21,343,Voice,Answered
C0000238,P06198,P09521,2025-12-06 16:50:57,767,SMS,Answered
C0000239,P00090,P08961,2025-03-16 22:02:30,658,VoIP,Answered
C0000240,P02469,P03245,2025-02-18 21:50:35,675,Voice,Voicemail
C0000241,P09848,P00044,2025-07-29 15:09:58,875,Voice,Answered
C0000242,P02851,P01223,2025-02-25 07:37:17,224,Voice,Missed
C0000243,P09550,P05775,2025-12-27 18:20:23,401,Voice,Answered
C0000244,P08800,P03869,2025-04-27 14:41:01,206,Voice,Answered
C0000245,P04228,P08062,2025-09-18 01:23:39,689,VoIP,Answered
C0000246,P06733,P06337,2025-06-23 03:58:35,288,Voice,Answered
C0000247,P00531,P07495,2025-08-22 18:53:33,377,Voice,Voicemail
C0000248,P01314,P04111,2025-12-03 20:23:56,837,Voice,Answered
C0000249,P06091,P06967,2025-08-20 07:42:25,310,VoIP,Answered
C0000250,P07684,P09149,2025-05-28 04:02:52,706,Voice,Answered
C0000251,P07383,P08382,2025-11-27 18:59:29,859,Voice,Answered
C0000252,P02446,P02734,2025-10-19 14:08:59,693,Voice,Answered
C0000253,P05173,P01180,2025-02-06 14:26:20,533,VoIP,Answered
C0000254,P08433,P03054,2025-04-14 15:15:52,622,Voice,Answered
C0000255,P06658,P09506,2025-10-22 12:08:56,15,SMS,Answered
C0000256,P02308,P01390,2025-07-09 00:11:37,453,Voice,Answered
C0000257,P05350,P09837,2025-04-17 18:38:53,884,Voice,Answered
C0000258,P00217,P09463,2025-01-26 05:09:25,751,Voice,Answered
C0000259,P08178,P01486,2025-12-28 15:45:21,286,Voice,Answered
C0000260,P09070,P09051,2025-07-15 09:27:11,405,Voice,Voicemail
C0000261,P01567,P07708,2025-11-01 13:26:14,292,Voice,Answered
C0000262,P06716,P02561,2025-05-25 17:19:05,578,SMS,Missed
C0000263,P05232,P07321,2025-03-10 19:56:51,45,Voice,Answered
C0000264,P03593,P06660,2025-04-30 00:14:02,651,Voice,Answered
C0000265,P03130,P07343,2025-01-16 04:47:27,229,VoIP,Answered
C0000266,P05686,P01241,2025-11-19 17:34:52,240,VoIP,Answered
C0000267,P05238,P01490,2025-02-03 07:18:44,297,Voice,Answered
C0000268,P01524,P07831,2025-03-02 05:44:09,299,Voice,Answered
C0000269,P08988,P02946,2025-05-07 10:52:57,457,Voice,Answered
C0000270,P07617,P04067,2025-10-26 21:27:00,316,SMS,Answered
C0000271,P02176,P06270,2025-06-05 21:07:30,782,Voice,Missed
C0000272,P00702,P00516,2025-03-17 10:35:57,68,Voice,Answered
C0000273,P06231,P05415,2025-10-17 22:34:49,257,Voice,Answered
C0000274,P00427,P01565,2025-04-30 03:35:46,47,Voice,Answered
C0000275,P09908,P05539,2025-05-14 21:47:21,235,Voice,Answered
C0000276,P04996,P01019,2025-10-29 02:38:50,148,SMS,Answered
C0000277,P09208,P08807,2025-06-02 17:19:50,17,Voice,Answered
C0000278,P08807,P02479,2025-04-06 21:34:01,525,Voice,Answered
C0000279,P07831,P00858,2025-04-19 02:19:21,846,Voice,Missed
C0000280,P04211,P01728,2025-08-15 05:51:25,15,VoIP,Missed
C0000281,P09435,P03041,2025-06-11 20:01:51,44,Voice,Answered
C0000282,P03015,P04362,2025-08-02 00:33:24,572,Voice,Voicemail
C0000283,P04866,P01086,2025-12-22 03:09:07,205,Voice,Answered
C0000284,P07065,P06302,2025-07-24 02:47:47,822,Voice,Answered
C0000285,P07310,P08147,2025-07-21 06:34:29,846,Voice,Voicemail
C0000286,P07342,P00791,2025-05-23 18:31:21,658,VoIP,Missed
C0000287,P03426,P04919,2025-12-18 04:24:40,853,Voice,Answered
C0000288,P06290,P05506,2025-03-03 11:45:07,879,Voice,Answered
C0000289,P04370,P05008,2025-05-23 22:34:28,397,Voice,Answered
C0000290,P01016,P01327,2025-09-11 09:55:33,65,Voice,Answered
C0000291,P05564,P08187,2025-04-27 07:32:24,462,VoIP,Answered
C0000292,P03893,P02996,2025-07-29 17:56:54,122,Voice,Answered
C0000293,P02969,P07438,2025-05-23 18:47:00,531,Voice,Answered
C0000294,P02011,P09653,2025-02-12 15:49:05,474,VoIP,Missed
C0000295,P03323,P04200,2025-03-25 19:19:10,505,VoIP,Answered
C0000296,P06986,P03254,2025-12-11 03:37:26,680,SMS,Answered
C0000297,P00313,P00723,2025-10-28 03:47:37,708,VoIP,Answered
C0000298,P08426,P05266,2025-01-12 17:11:46,599,VoIP,Missed
C0000299,P03328,P00609,2025-10-06 01:07:49,890,Voice,Voicemail
C0000300,P06423,P06445,2025-04-30 07:35:37,406,Voice,Answered
C0000301,P04941,P00501,2025-09-06 03:31:49,31,SMS,Answered
C0000302,P05911,P02050,2025-05-24 05:42:52,124,Voice,Answered
C0000303,P06476,P02966,2025-07-24 18:09:56,888,Voice,Voicemail
C0000304,P03381,P06784,2025-01-06 07:44:38,393,Voice,Answered
C0000305,P06753,P05509,2025-07-31 07:05:45,720,Voice,Answered
C0000306,P05219,P02160,2025-05-13 22:19:06,868,Voice,Answered
C0000307,P00421,P07813,2025-11-11 18:21:44,121,VoIP,Answered
C0000308,P05045,P02833,2025-09-29 03:58:33,308,Voice,Answered
C0000309,P07414,P05864,2025-12-04 07:39:01,81,Voice,Missed
C0000310,P00682,P08209,2025-05-07 12:54:23,546,SMS,Answered
C0000311,P04650,P06516,2025-03-02 05:46:12,129,VoIP,Voicemail
C0000312,P01647,P08732,2025-11-10 01:37:53,199,VoIP,Answered
C0000313,P03277,P07884,2025-04-16 18:16:44,272,VoIP,Answered
C0000314,P01088,P06954,2025-04-16 07:45:10,600,VoIP,Answered
C0000315,P05608,P04024,2025-05-28 06:27:58,145,VoIP,Answered
C0000316,P02626,P05587,2025-10-28 08:16:32,377,VoIP,Answered
C0000317,P00508,P00323,2025-02-19 13:23:56,102,SMS,Answered
C0000318,P09785,P05761,2025-01-08 08:56:21,136,Voice,Missed
C0000319,P08894,P08114,2025-03-25 13:24:13,487,VoIP,Missed
C0000320,P01204,P03158,2025-01-23 19:51:25,620,Voice,Answered
C0000321,P00919,P03221,2025-04-09 16:05:15,596,SMS,Answered
C0000322,P08541,P08122,2025-12-28 05:47:12,675,Voice,Answered
C0000323,P05986,P08272,2025-04-09 01:01:35,635,Voice,Answered
C0000324,P04244,P00225,2025-11-10 10:53:29,643,VoIP,Answered
C0000325,P08211,P07198,2025-01-28 20:08:48,243,Voice,Answered
C0000326,P04351,P08178,2025-01-21 18:22:47,778,Voice,Answered
C0000327,P09335,P04028,2025-07-22 09:29:05,57,Voice,Voicemail
C0000328,P06364,P07832,2025-03-13 07:33:15,874,Voice,Answered
C0000329,P08256,P03414,2025-04-23 12:10:55,114,VoIP,Answered
C0000330,P01075,P03923,2025-09-04 15:48:16,500,Voice,Answered
C0000331,P00005,P02625,2025-12-21 04:19:53,458,SMS,Answered
C0000332,P08445,P03082,2025-10-23 14:34:20,394,Voice,Answered
C0000333,P09966,P03619,2025-06-21 21:05:50,419,Voice,Answered
C0000334,P06920,P06896,2025-05-02 23:34:23,513,Voice,Answered
C0000335,P04741,P01671,2025-10-06 01:47:57,797,VoIP,Answered
C0000336,P06096,P09789,2025-08-07 07:27:50,729,Voice,Missed
C0000337,P06161,P03772,2025-10-22 14:19:55,230,VoIP,Answered
C0000338,P07444,P00743,2025-05-15 11:39:06,561,VoIP,Answered
C0000339,P06066,P00838,2025-12-30 15:26:03,883,Voice,Answered
C0000340,P00721,P02486,2025-02-04 11:26:36,617,Voice,Missed
C0000341,P02263,P08244,2025-11-27 15:00:38,635,Voice,Answered
C0000342,P05220,P07102,2025-11-17 11:45:51,899,Voice,Answered
C0000343,P00071,P09789,2025-05-14 00:27:54,371,Voice,Answered
C0000344,P03964,P04054,2025-12-08 21:13:57,369,Voice,Answered
C0000345,P01350,P01104,2025-09-30 12:53:59,398,Voice,Missed
C0000346,P07873,P00051,2025-06-30 00:00:27,853,SMS,Missed
C0000347,P04240,P07490,2025-02-18 14:42:45,83,Voice,Missed
C0000348,P02996,P05852,2025-11-14 23:50:46,474,SMS,Missed
C0000349,P02928,P05558,2025-11-15 09:52:48,760,Voice,Answered
C0000350,P03513,P00074,2025-04-17 02:48:05,578,Voice,Answered
C0000351,P07393,P00514,2025-05-27 09:51:36,36,Voice,Answered
C0000352,P09333,P05275,2025-03-26 11:09:44,362,Voice,Answered
C0000353,P04108,P05742,2025-09-15 22:58:29,298,VoIP,Answered
C0000354,P04767,P02484,2025-06-08 14:07:37,99,VoIP,Answered
C0000355,P06001,P03034,2025-03-26 15:52:13,127,VoIP,Answered
C0000356,P08733,P01167,2025-11-20 05:59:34,580,Voice,Answered
C0000357,P08605,P01906,2025-07-15 04:19:18,221,Voice,Answered
C0000358,P02510,P04908,2025-01-21 13:40:03,212,Voice,Answered
C0000359,P05820,P00637,2025-06-05 14:06:54,11,Voice,Answered
C0000360,P04388,P09232,2025-05-25 19:35:23,530,Voice,Answered
C0000361,P08668,P08545,2025-04-29 03:36:56,53,Voice,Answered
C0000362,P07527,P08543,2025-12-12 12:43:10,161,VoIP,Answered
C0000363,P06706,P00493,2025-11-01 04:59:20,437,VoIP,Missed
C0000364,P03629,P01214,2025-08-11 07:00:55,758,Voice,Answered
C0000365,P06366,P04420,2025-02-23 16:29:58,379,Voice,Answered
C0000366,P00813,P02539,2025-11-08 04:53:23,743,Voice,Answered
C0000367,P09082,P04558,2025-08-10 06:42:56,477,SMS,Answered
C0000368,P03235,P08372,2025-10-10 12:49:43,574,Voice,Answered
C0000369,P00111,P08495,2025-11-07 22:08:31,239,Voice,Voicemail
C0000370,P01856,P08219,2025-10-03 10:23:31,419,Voice,Answered
C0000371,P09593,P09931,2025-08-24 18:03:24,768,Voice,Answered
C0000372,P06915,P07101,2025-08-04 04:17:42,788,SMS,Answered
C0000373,P08811,P06204,2025-03-17 06:52:55,851,Voice,Missed
C0000374,P05165,P05386,2025-04-11 22:48:39,193,Voice,Answered
C0000375,P01297,P03469,2025-09-05 17:12:45,555,VoIP,Answered
C0000376,P07229,P03714,2025-10-28 07:52:42,323,Voice,Answered
C0000377,P05901,P03872,2025-12-02 08:42:15,622,Voice,Answered
C0000378,P04513,P04703,2025-01-06 10:38:21,740,Voice,Answered
C0000379,P01034,P05895,2025-11-02 23:32:56,696,SMS,Answered
C0000380,P05129,P08739,2025-08-16 06:17:47,708,Voice,Missed
C0000381,P09640,P03135,2025-09-07 02:10:09,150,Voice,Voicemail
C0000382,P08174,P00512,2025-04-11 12:00:28,338,Voice,Answered
C0000383,P07589,P06232,2025-05-22 22:32:00,202,Voice,Answered
