fir_id,person_a,person_b,crime_type,date,location,case_status
F000117,P05161,P05729,Cyber Fraud,2025-02-16,Mumbai,Under Investigation
F000118,P01644,P00748,Illegal Financing,2025-09-12,Mumbai,Open
F000119,P08049,P05894,Financial Fraud,2025-08-13,Pune,Open
F000120,P02361,P10000,Money Laundering,2025-07-11,Mumbai,Open
F000121,P05864,P09988,Organized Fraud,2025-06-22,Pune,Closed
F000122,P09875,P05165,Illegal Financing,2025-04-25,Delhi,Under Investigation
F000123,P02168,P01346,Financial Fraud,2025-12-02,Bengaluru,Closed
F000124,P09373,P07037,Illegal Financing,2025-07-12,Kolkata,Closed
F000125,P01077,P01814,Cyber Fraud,2025-11-27,Pune,Open
F000126,P04014,P03561,Financial Fraud,2025-12-13,Kolkata,Open
F000127,P05901,P00523,Cyber Fraud,2025-09-03,Indore,Open
F000128,P09638,P02068,Illegal Financing,2025-06-19,Jaipur,Closed
F000129,P04371,P06550,Extortion,2025-05-09,Bengaluru,Under Investigation
F000130,P05090,P01944,Organized Fraud,2025-04-18,Bengaluru,Open
F000131,P01037,P04689,Money Laundering,2025-10-24,Mumbai,Closed
F000132,P09225,P06478,Extortion,2025-09-30,Pune,Under Investigation
F000133,P03547,P01549,Cyber Fraud,2025-08-19,Pune,Under Investigation
F000134,P04513,P04893,Financial Fraud,2025-05-06,Vadodara,Open
F000135,P00419,P08573,Financial Fraud,2025-02-19,Ahmedabad,Under Investigation
F000136,P08716,P01158,Illegal Financing,2025-08-27,Rajkot,Under Investigation
F000137,P06929,P05722,Cyber Fraud,2025-04-04,Bengaluru,Under Investigation
F000138,P01948,P02507,Financial Fraud,2025-06-15,Mumbai,Open
F000139,P06670,P05634,Extortion,2025-03-02,Mumbai,Open
F000140,P00970,P00198,Organized Fraud,2025-11-20,Jaipur,Under Investigation
F000141,P02315,P08283,Financial Fraud,2025-06-04,Vadodara,Under Investigation
F000142,P03180,P01824,Organized Fraud,2025-03-28,Bengaluru,Open
F000143,P07763,P09037,Cyber Fraud,2025-08-18,Surat,Under Investigation
F000144,P06049,P00975,Money Laundering,2025-07-02,Surat,Open
F000145,P04188,P08014,Illegal Financing,2025-07-25,Surat,Open
F000146,P01455,P02139,Organized Fraud,2025-01-24,Bengaluru,Under Investigation
F000147,P09984,P08265,Illegal Financing,2025-10-28,Ahmedabad,Under Investigation
F000148,P08170,P01619,Money Laundering,2025-05-17,Rajkot,Open
F000149,P08619,P00640,Money Laundering,2025-05-29,Indore,Open
F000150,P04057,P07230,Organized Fraud,2025-07-13,Vadodara,Open
F000151,P03100,P07145,Organized Fraud,2025-12-01,Surat,Open
F000152,P09261,P08116,Illegal Financing,2025-12-12,Pune,Under Investigation
F000153,P06821,P07979,Organized Fraud,2025-08-01,Pune,Open
F000154,P00023,P05264,Money Laundering,2025-10-21,Delhi,Under Investigation
F000155,P01836,P03621,Cyber Fraud,2025-02-12,Hyderabad,Open
F000156,P04137,P02268,Extortion,2025-03-23,Mumbai,Open
F000157,P05173,P02161,Cyber Fraud,2025-02-13,Hyderabad,Under Investigation
F000158,P01220,P02275,Financial Fraud,2025-05-04,Kolkata,Open
F000159,P02996,P02162,Cyber Fraud,2025-09-20,Mumbai,Open
F000160,P09634,P09029,Financial Fraud,2025-05-18,Rajkot,Open
F000161,P05800,P01871,Money Laundering,2025-11-10,Vadodara,Open
F000162,P03786,P00706,Financial Fraud,2025-09-15,Bengaluru,Open
F000163,P04467,P05976,Illegal Financing,2025-04-23,Bengaluru,Open
F000164,P09754,P07003,Extortion,2025-11-08,Surat,Closed
F000165,P03848,P04865,Organized Fraud,2025-06-21,Vadodara,Open
F000166,P09733,P08225,Extortion,2025-12-30,Jaipur,Closed
F000167,P02302,P08876,Cyber Fraud,2025-01-15,Kolkata,Under Investigation
F000168,P08468,P05497,Cyber Fraud,2025-04-18,Mumbai,Open
F000169,P08686,P01536,Organized Fraud,2025-12-15,Vadodara,Closed
F000170,P05771,P08314,Extortion,2025-03-03,Rajkot,Open
F000171,P02575,P03179,Extortion,2025-10-10,Vadodara,Open
F000172,P01787,P09691,Money Laundering,2025-02-05,Bengaluru,Under Investigation
F000173,P03728,P05174,Cyber Fraud,2025-03-20,Indore,Open
F000174,P08364,P02332,Financial Fraud,2025-08-17,Bengaluru,Open
F000175,P09096,P01613,Cyber Fraud,2025-10-14,Pune,Under Investigation
F000176,P03192,P02455,Extortion,2025-05-27,Rajkot,Open
F000177,P07051,P07672,Financial Fraud,2025-05-08,Delhi,Open
F000178,P05814,P08272,Extortion,2025-09-23,Vadodara,Open
F000179,P04622,P07007,Cyber Fraud,2025-01-11,Delhi,Under Investigation
F000180,P02879,P02468,Extortion,2025-11-03,Vadodara,Under Investigation
F000181,P01000,P06606,Organized Fraud,2025-11-05,Delhi,Under Investigation
F000182,P06673,P04775,Cyber Fraud,2025-02-14,Bengaluru,Under Investigation
F000183,P07839,P00521,Cyber Fraud,2025-10-31,Jaipur,Open
F000184,P03173,P03476,Financial Fraud,2025-04-23,Mumbai,Under Investigation
F000185,P02576,P01235,Cyber Fraud,2025-03-04,Hyderabad,Open
F000186,P06028,P06804,Financial Fraud,2025-07-05,Pune,Closed
F000187,P08182,P03762,Illegal Financing,2025-12-22,Pune,Under Investigation
F000188,P08121,P06466,Extortion,2025-12-09,Pune,Open
F000189,P08645,P01811,Extortion,2025-08-10,Surat,Open
F000190,P02722,P04599,Organized Fraud,2025-02-20,Kolkata,Under Investigation
F000191,P04994,P09024,Organized Fraud,2025-01-17,Indore,Open
F000192,P02611,P00731,Organized Fraud,2025-02-09,Kolkata,Under Investigation
F000193,P09201,P05591,Money Laundering,2025-07-15,Kolkata,Under Investigation
F000194,P02247,P01533,Organized Fraud,2025-02-15,Vadodara,Under Investigation
F000195,P00807,P06317,Organized Fraud,2025-01-05,Indore,Open
F000196,P05130,P02757,Extortion,2025-05-11,Bengaluru,Open
F000197,P03908,P02833,Illegal Financing,2025-05-17,Hyderabad,Open
F000198,P06385,P00432,Organized Fraud,2025-06-15,Pune,Under Investigation
F000199,P05918,P08622,Organized Fraud,2025-10-15,Delhi,Under Investigation
F000200,P01004,P05777,Money Laundering,2025-09-22,Mumbai,Under Investigation
F000201,P06622,P03361,Illegal Financing,2025-11-05,Indore,Under Investigation
F000202,P05222,P08593,Financial Fraud,2025-09-28,Rajkot,Under Investigation
F000203,P09891,P05553,Money Laundering,2025-08-22,Vadodara,Open
F000204,P03699,P07136,Cyber Fraud,2025-03-13,Surat,Closed
F000205,P03575,P07530,Extortion,2025-05-30,Delhi,Open
F000206,P06046,P02769,Extortion,2025-04-08,Vadodara,Closed
F000207,P04195,P03852,Extortion,2025-01-24,Bengaluru,Under Investigation
F000208,P00963,P08233,Cyber Fraud,2025-12-16,Mumbai,Open
F000209,P07160,P05678,Extortion,2025-12-31,Kolkata,Under Investigation
F000210,P03550,P04415,Illegal Financing,2025-01-08,Vadodara,Closed
F000211,P06011,P06974,Extortion,2025-04-27,Indore,Open
F000212,P05947,P09725,Organized Fraud,2025-08-06,Ahmedabad,Under Investigation
F000213,P07660,P02357,Money Laundering,2025-09-11,Surat,Under Investigation
F000214,P03695,P04361,Organized Fraud,2025-09-08,Indore,Open
F000215,P02526,P06733,Cyber Fraud,2025-01-29,Indore,Open
F000216,P03828,P04818,Illegal Financing,2025-03-28,Jaipur,Open
F000217,P09927,P03942,Money Laundering,2025-10-04,Vadodara,Open
F000218,P01672,P06864,Illegal Financing,2025-05-21,Vadodara,Open
F000219,P02997,P09930,Extortion,2025-05-25,Pune,Under Investigation
F000220,P05288,P02954,Financial Fraud,2025-01-20,Indore,Open
F000221,P02186,P01335,Financial Fraud,2025-11-28,Surat,Under Investigation
F000222,P09678,P04464,Illegal Financing,2025-10-27,Delhi,Open
F000223,P01044,P01066,Organized Fraud,2025-09-30,Indore,Under Investigation
F000224,P01866,P03774,Financial Fraud,2025-09-22,Surat,Open
F000225,P08832,P06406,Money Laundering,2025-05-05,Pune,Under Investigation
F000226,P08035,P01670,Extortion,2025-08-10,Hyderabad,Under Investigation
F000227,P08300,P01761,Financial Fraud,2025-01-29,Kolkata,Closed
F000228,P01661,P09515,Financial Fraud,2025-06-04,Hyderabad,Under Investigation
F000229,P07246,P04511,Cyber Fraud,2025-10-19,Pune,Under Investigation
F000230,P04561,P01289,Illegal Financing,2025-02-01,Vadodara,Open
F000231,P08794,P07718,Extortion,2025-08-20,Pune,Open
F000232,P05990,P02535,Extortion,2025-11-29,Rajkot,Open
F000233,P03606,P01348,Organized Fraud,2025-06-01,Surat,Under Investigation
F000234,P03334,P02416,Cyber Fraud,2025-03-25,Indore,Open
F000235,P04925,P03741,Financial Fraud,2025-02-03,Mumbai,Closed
F000236,P00312,P02847,Extortion,2025-09-27,Surat,Under Investigation
F000237,P06676,P02967,Illegal Financing,2025-06-09,Pune,Under Investigation
F000238,P06199,P00746,Cyber Fraud,2025-06-16,Surat,Open
F000239,P04656,P05568,Cyber Fraud,2025-05-13,Mumbai,Under Investigation
F000240,P05593,P08660,Illegal Financing,2025-05-27,Jaipur,Open
F000241,P06185,P00381,Financial Fraud,2025-01-05,Ahmedabad,Under Investigation
F000242,P05739,P01978,Organized Fraud,2025-05-18,Vadodara,Under Investigation
F000243,P09057,P01414,Extortion,2025-02-27,Mumbai,Under Investigation
F000244,P09096,P04892,Financial Fraud,2025-12-15,Surat,Under Investigation
F000245,P04552,P01468,Extortion,2025-04-10,Surat,Open
F000246,P07901,P00268,Extortion,2025-05-11,Kolkata,Closed
F000247,P00384,P00744,Organized Fraud,2025-03-17,Bengaluru,Under Investigation
F000248,P05378,P06710,Illegal Financing,2025-03-05,Kolkata,Under Investigation
F000249,P03589,P07995,Money Laundering,2025-06-21,Jaipur,Under Investigation
F000250,P07850,P02437,Extortion,2025-12-05,Jaipur,Under Investigation
F000251,P02778,P07099,Illegal Financing,2025-01-03,Pune,Open
F000252,P04267,P09707,Money Laundering,2025-08-20,Ahmedabad,Under Investigation
F000253,P06470,P06038,Illegal Financing,2025-05-09,Ahmedabad,Open
F000254,P02233,P09637,Financial Fraud,2025-12-22,Rajkot,Under Investigation
F000255,P00104,P01278,Money Laundering,2025-07-08,Jaipur,Under Investigation
F000256,P05928,P02276,Financial Fraud,2025-03-25,Indore,Under Investigation
F000257,P00867,P00373,Cyber Fraud,2025-04-28,Ahmedabad,Open
F000258,P03083,P02599,Organized Fraud,2025-03-18,Vadodara,Open
F000259,P01872,P07249,Cyber Fraud,2025-05-15,Jaipur,Under Investigation
F000260,P09845,P06085,Financial Fraud,2025-05-19,Bengaluru,Under Investigation
F000261,P04177,P03828,Extortion,2025-07-12,Surat,Under Investigation
F000262,P04567,P07430,Extortion,2025-07-20,Rajkot,Open
F000263,P09736,P02531,Illegal Financing,2025-11-05,Vadodara,Open
F000264,P04449,P01893,Financial Fraud,2025-02-06,Hyderabad,Open
F000265,P01184,P01194,Money Laundering,2025-03-04,Jaipur,Under Investigation
F000266,P05071,P09506,Illegal Financing,2025-11-10,Bengaluru,Under Investigation
F000267,P04540,P04174,Financial Fraud,2025-03-15,Pune,Open
F000268,P09472,P02499,Organized Fraud,2025-07-26,Indore,Open
F000269,P04944,P05896,Illegal Financing,2025-07-19,Mumbai,Open
F000270,P02601,P08777,Organized Fraud,2025-01-29,Mumbai,Closed
F000271,P01606,P07233,Illegal Financing,2025-05-15,Mumbai,Closed
F000272,P05714,P00796,Financial Fraud,2025-01-25,Mumbai,Closed
F000273,P02082,P02239,Illegal Financing,2025-06-03,Bengaluru,Under Investigation
F000274,P03595,P02203,Organized Fraud,2025-04-28,Hyderabad,Open
F000275,P09649,P00256,Organized Fraud,2025-07-08,Surat,Closed
F000276,P02015,P07540,Organized Fraud,2025-12-26,Jaipur,Under Investigation
F000277,P00373,P06826,Illegal Financing,2025-08-29,Kolkata,Open
F000278,P05792,P05054,Cyber Fraud,2025-02-23,Pune,Open
F000279,P05840,P07565,Money Laundering,2025-03-30,Rajkot,Open
F000280,P05305,P07121,Illegal Financing,2025-07-17,Pune,Open
F000281,P02251,P04790,Illegal Financing,2025-05-21,Vadodara,Open
F000282,P06471,P02899,Organized Fraud,2025-05-26,Kolkata,Under Investigation
F000283,P06592,P02273,Illegal Financing,2025-10-19,Delhi,Open
F000284,P03825,P00526,Cyber Fraud,2025-01-01,Ahmedabad,Closed
F000285,P00014,P07566,Illegal Financing,2025-02-14,Indore,Open
F000286,P07770,P06226,Extortion,2025-01-17,Vadodara,Under Investigation
F000287,P09003,P07764,Cyber Fraud,2025-07-16,Bengaluru,Open
F000288,P07628,P05861,Money Laundering,2025-05-18,Hyderabad,Closed
F000289,P03948,P02292,Extortion,2025-10-24,Rajkot,Open
F000290,P03655,P03002,Cyber Fraud,2025-07-25,Bengaluru,Open
F000291,P01877,P03217,Cyber Fraud,2025-01-20,Rajkot,Closed
F000292,P01765,P02616,Cyber Fraud,2025-08-10,Bengaluru,Open
F000293,P08149,P09825,Financial Fraud,2025-08-13,Kolkata,Closed
F000294,P06995,P08994,Organized Fraud,2025-03-29,Delhi,Under Investigation
F000295,P08515,P01756,Illegal Financing,2025-04-23,Kolkata,Under Investigation
F000296,P01495,P03390,Organized Fraud,2025-04-03,Mumbai,Under Investigation
F000297,P00309,P02292,Cyber Fraud,2025-01-10,Ahmedabad,Closed
F000298,P08780,P08430,Financial Fraud,2025-06-11,Delhi,Open
F000299,P00802,P02738,Cyber Fraud,2025-03-19,Delhi,Open
F000300,P00015,P09035,Financial Fraud,2025-07-08,Rajkot,Open
F000301,P04096,P08386,Cyber Fraud,2025-04-26,Jaipur,Open
F000302,P06247,P02118,Cyber Fraud,2025-05-20,Bengaluru,Open
F000303,P06211,P08021,Cyber Fraud,2025-12-03,Delhi,Closed
F000304,P06666,P04447,Organized Fraud,2025-05-05,Jaipur,Closed
F000305,P03013,P02883,Extortion,2025-09-13,Pune,Open
F000306,P06654,P04310,Money Laundering,2025-06-21,Hyderabad,Open
F000307,P02998,P04377,Organized Fraud,2025-08-20,Surat,Under Investigation
F000308,P05024,P05025,Organized Fraud,2025-07-14,Mumbai,Under Investigation
F000309,P04100,P05072,Cyber Fraud,2025-12-01,Surat,Open
F000310,P03398,P05179,Extortion,2025-01-20,Ahmedabad,Closed
F000311,P05023,P06150,Extortion,2025-07-08,Bengaluru,Under Investigation
F000312,P00928,P09174,Financial Fraud,2025-08-13,Rajkot,Open
F000313,P09998,P01433,Money Laundering,2025-10-22,Mumbai,Under Investigation
F000314,P01762,P02652,Cyber Fraud,2025-06-06,Pune,Closed
F000315,P09299,P07365,Extortion,2025-07-07,Kolkata,Under Investigation
F000316,P07771,P09860,Extortion,2025-04-18,Pune,Under Investigation
F000317,P03609,P08408,Financial Fraud,2025-09-17,Jaipur,Under Investigation
F000318,P04401,P07012,Extortion,2025-10-02,Surat,Open
F000319,P04690,P05325,Money Laundering,2025-08-18,Vadodara,Closed
F000320,P01449,P06098,Money Laundering,2025-08-07,Surat,Closed
F000321,P07777,P04583,Money Laundering,2025-10-19,Indore,Closed
F000322,P07630,P09561,Organized Fraud,2025-09-20,Vadodara,Open
F000323,P05566,P06882,Cyber Fraud,2025-07-05,Ahmedabad,Under Investigation
F000324,P00213,P00139,Extortion,2025-09-14,Jaipur,Under Investigation
F000325,P00339,P09920,Financial Fraud,2025-03-17,Pune,Under Investigation
F000326,P07651,P00579,Financial Fraud,2025-08-04,Rajkot,Closed
F000327,P09635,P01809,Cyber Fraud,2025-01-19,Vadodara,Open
F000328,P03056,P01197,Cyber Fraud,2025-01-15,Hyderabad,Open
F000329,P04604,P07931,Illegal Financing,2025-09-04,Ahmedabad,Open
F000330,P00180,P09228,Money Laundering,2025-07-12,Rajkot,Open
F000331,P03673,P05099,Cyber Fraud,2025-06-01,Delhi,Open
F000332,P07067,P05222,Cyber Fraud,2025-03-19,Delhi,Under Investigation
F000333,P02694,P07842,Organized Fraud,2025-07-27,Indore,Closed
F000334,P03203,P03156,Financial Fraud,2025-12-04,Pune,Open
F000335,P01552,P03779,Organized Fraud,2025-07-28,Jaipur,Open
F000336,P09231,P00855,Money Laundering,2025-08-12,Rajkot,Closed
F000337,P00687,P03330,Illegal Financing,2025-10-10,Vadodara,Closed
F000338,P00314,P03932,Money Laundering,2025-08-13,Vadodara,Under Investigation
F000339,P05618,P08032,Cyber Fraud,2025-02-24,Ahmedabad,Under Investigation
F000340,P02567,P04609,Cyber Fraud,2025-12-26,Vadodara,Under Investigation
F000341,P09596,P05334,Illegal Financing,2025-08-18,Hyderabad,Open
F000342,P02923,P09032,Financial Fraud,2025-03-02,Pune,Under Investigation
F000343,P06804,P06991,Money Laundering,2025-10-22,Mumbai,Open
F000344,P09838,P09305,Organized Fraud,2025-11-21,Jaipur,Open
F000345,P07704,P09312,Money Laundering,2025-01-15,Surat,Under Investigation
F000346,P02605,P03507,Extortion,2025-06-20,Bengaluru,Open
F000347,P00886,P05293,Financial Fraud,2025-04-12,Indore,Open
F000348,P08442,P03018,Financial Fraud,2025-09-13,Ahmedabad,Open
F000349,P03430,P07616,Organized Fraud,2025-04-30,Mumbai,Under Investigation
F000350,P05688,P08220,Organized Fraud,2025-01-06,Jaipur,Open
F000351,P08722,P01727,Organized Fraud,2025-12-05,Indore,Under Investigation
F000352,P05303,P08298,Illegal Financing,2025-12-22,Bengaluru,Under Investigation
F000353,P00864,P01741,Cyber Fraud,2025-08-18,Hyderabad,Open
F000354,P00515,P08704,Extortion,2025-08-09,Bengaluru,Open
F000355,P01529,P09315,Money Laundering,2025-01-18,Kolkata,Under Investigation
F000356,P09842,P00964,Organized Fraud,2025-07-21,Mumbai,Under Investigation
F000357,P00835,P00836,Organized Fraud,2025-11-29,Indore,Under Investigation
F000358,P08690,P00225,Money Laundering,2025-03-04,Delhi,Under Investigation
F000359,P07318,P02691,Financial Fraud,2025-01-02,Hyderabad,Open
F000360,P07953,P08680,Money Laundering,2025-01-02,Mumbai,Open
F000361,P09974,P09900,Financial Fraud,2025-02-09,Ahmedabad,Under Investigation
F000362,P00377,P09828,Money Laundering,2025-02-27,Rajkot,Open
F000363,P03285,P09839,Organized Fraud,2025-09-23,Rajkot,Under Investigation
F000364,P00998,P05445,Organized Fraud,2025-05-11,Delhi,Under Investigation
F000365,P00738,P01442,Financial Fraud,2025-04-14,Jaipur,Under Investigation
F000366,P09885,P08165,Organized Fraud,2025-06-10,Delhi,Under Investigation
F000367,P08822,P04442,Money Laundering,2025-11-13,Surat,Closed
F000368,P02801,P04197,Organized Fraud,2025-02-17,Delhi,Open
F000369,P07088,P08153,Organized Fraud,2025-09-02,Pune,Under Investigation
F000370,P06200,P07180,Illegal Financing,2025-10-22,Bengaluru,Open
F000371,P01149,P04625,Extortion,2025-12-28,Surat,Open
F000372,P06980,P09148,Organized Fraud,2025-04-08,Mumbai,Open
F000373,P09491,P02388,Organized Fraud,2025-05-10,Ahmedabad,Under Investigation
F000374,P00994,P06436,Extortion,2025-01-31,Rajkot,Closed
F000375,P02636,P01755,Illegal Financing,2025-09-13,Rajkot,Open
F000376,P07516,P07041,Financial Fraud,2025-06-07,Rajkot,Under Investigation
F000377,P09625,P03118,Illegal Financing,2025-04-22,Surat,Under Investigation
