transaction_id,sender_id,receiver_id,amount_inr,date,method,location,risk_label
T0000144,P04008,P04497,284862,2025-03-12,UPI,Bengaluru,Normal
T0000145,P00117,P04295,312735,2025-04-30,Crypto,Jaipur,Suspicious
T0000146,P02083,P02119,17195,2025-08-27,Bank Transfer,Vadodara,Normal
T0000147,P04644,P07885,42948,2025-08-10,UPI,Surat,Normal
T0000148,P09920,P02814,27076,2025-06-15,UPI,Delhi,Suspicious
T0000149,P03427,P03819,339386,2025-08-03,Bank Transfer,Delhi,Suspicious
T0000150,P01018,P00340,26407,2025-08-03,UPI,Pune,Normal
T0000151,P01838,P03439,233658,2025-06-03,Bank Transfer,Bengaluru,Normal
T0000152,P08080,P02460,184923,2025-08-21,UPI,Hyderabad,Normal
T0000153,P04287,P07321,110290,2025-10-22,Bank Transfer,Kolkata,Normal
T0000154,P00940,P06107,138275,2025-04-14,UPI,Ahmedabad,Normal
T0000155,P01574,P02718,32341,2025-11-20,Bank Transfer,Delhi,Suspicious
T0000156,P06350,P00399,55129,2025-03-25,UPI,Vadodara,Normal
T0000157,P00521,P00063,51050,2025-02-11,Bank Transfer,Ahmedabad,Normal
T0000158,P02969,P04061,9566,2025-02-21,Cash,Vadodara,Normal
T0000159,P00309,P05606,89335,2025-02-25,Bank Transfer,Kolkata,Normal
T0000160,P00498,P08986,76330,2025-06-18,Bank Transfer,Indore,Normal
T0000161,P04485,P00282,188099,2025-03-16,Bank Transfer,Vadodara,Normal
T0000162,P06804,P00955,4791,2025-04-16,Wallet,Mumbai,Normal
T0000163,P07608,P07551,50972,2025-12-21,Crypto,Indore,Normal
T0000164,P05199,P07745,149170,2025-12-28,Wallet,Jaipur,Normal
T0000165,P02189,P07802,129125,2025-04-04,Bank Transfer,Bengaluru,Normal
T0000166,P08975,P00507,170326,2025-08-17,Cash,Ahmedabad,Normal
T0000167,P07699,P04922,273418,2025-08-14,UPI,Mumbai,Normal
T0000168,P05904,P01534,46521,2025-09-13,Cash,Delhi,Normal
T0000169,P00958,P05033,398929,2025-02-26,UPI,Mumbai,Suspicious
T0000170,P00439,P06991,34679,2025-10-26,Bank Transfer,Ahmedabad,Normal
T0000171,P00397,P03162,46333,2025-02-26,UPI,Mumbai,Normal
T0000172,P00503,P04474,60277,2025-08-27,Bank Transfer,Delhi,Normal
T0000173,P06719,P03653,222114,2025-03-25,Cash,Vadodara,Normal
T0000174,P03019,P09391,31799,2025-12-01,Wallet,Kolkata,Normal
T0000175,P00918,P03554,32106,2025-10-15,Bank Transfer,Vadodara,Normal
T0000176,P06701,P01238,83950,2025-04-28,Cash,Surat,Normal
T0000177,P01166,P00967,130934,2025-09-06,UPI,Rajkot,Normal
T0000178,P05696,P03090,131962,2025-05-09,Bank Transfer,Hyderabad,Normal
T0000179,P00776,P00431,5157,2025-07-08,UPI,Vadodara,Normal
T0000180,P02920,P04620,12275,2025-06-25,UPI,Delhi,Normal
T0000181,P05774,P02847,199933,2025-06-10,Cash,Ahmedabad,Normal
T0000182,P08398,P01672,237794,2025-12-25,Crypto,Delhi,Normal
T0000183,P09923,P01731,34536,2025-08-02,Crypto,Rajkot,Suspicious
T0000184,P01900,P02239,70741,2025-03-27,Wallet,Surat,Normal
T0000185,P00647,P05497,32583,2025-03-31,Bank Transfer,Rajkot,Normal
T0000186,P07704,P09232,489333,2025-11-13,Wallet,Jaipur,Suspicious
T0000187,P02474,P09450,33064,2025-07-06,UPI,Jaipur,Normal
T0000188,P08552,P02508,42346,2025-08-12,Wallet,Indore,Normal
T0000189,P02141,P00405,21832,2025-12-21,Bank Transfer,Pune,Normal
T0000190,P02395,P08789,27662,2025-01-06,UPI,Hyderabad,Normal
T0000191,P02054,P08670,6083,2025-11-13,Bank Transfer,Vadodara,Normal
T0000192,P04000,P00521,138366,2025-05-17,UPI,Mumbai,Normal
T0000193,P09271,P02878,52936,2025-11-04,UPI,Vadodara,Normal
T0000194,P05317,P06672,386648,2025-10-30,Bank Transfer,Indore,Suspicious
T0000195,P03063,P00816,9767,2025-03-24,Bank Transfer,Indore,Normal
T0000196,P09299,P08361,96135,2025-10-07,Cash,Ahmedabad,Normal
T0000197,P07781,P06561,16322,2025-04-27,Crypto,Bengaluru,Normal
T0000198,P05750,P03473,39076,2025-12-12,UPI,Mumbai,Normal
T0000199,P09095,P05102,54905,2025-01-19,Crypto,Vadodara,Normal
T0000200,P03769,P00842,34775,2025-06-06,UPI,Surat,Normal
T0000201,P05238,P08212,83963,2025-08-18,UPI,Pune,Normal
T0000202,P07282,P03080,94203,2025-04-20,UPI,Vadodara,Suspicious
T0000203,P09872,P08774,209316,2025-02-06,Bank Transfer,Vadodara,Normal
T0000204,P05281,P04428,447427,2025-08-15,Crypto,Hyderabad,Suspicious
T0000205,P08855,P03064,158304,2025-09-29,UPI,Bengaluru,Normal
T0000206,P05276,P08942,899260,2025-03-11,Bank Transfer,Mumbai,Suspicious
T0000207,P04875,P00839,164676,2025-10-14,Bank Transfer,Indore,Normal
T0000208,P00984,P01745,89889,2025-07-27,Bank Transfer,Jaipur,Normal
T0000209,P09265,P03607,21647,2025-03-21,Bank Transfer,Jaipur,Normal
T0000210,P07157,P05602,79154,2025-03-27,UPI,Hyderabad,Normal
T0000211,P01328,P02294,21725,2025-04-23,Bank Transfer,Jaipur,Normal
T0000212,P05658,P08250,12584,2025-12-11,Bank Transfer,Surat,Normal
T0000213,P08882,P04979,7048,2025-05-18,UPI,Ahmedabad,Normal
T0000214,P01719,P00834,15352,2025-08-17,Bank Transfer,Vadodara,Suspicious
T0000215,P00347,P06117,11161,2025-04-26,Crypto,Mumbai,Normal
T0000216,P09163,P07264,60746,2025-08-22,Bank Transfer,Rajkot,Normal
T0000217,P09109,P07341,28355,2025-11-22,Bank Transfer,Rajkot,Normal
T0000218,P00973,P01235,202995,2025-06-16,Bank Transfer,Surat,Normal
T0000219,P01928,P02271,191985,2025-09-19,Bank Transfer,Delhi,Normal
T0000220,P03045,P09006,45353,2025-07-14,UPI,Hyderabad,Normal
T0000221,P01500,P09918,70406,2025-10-20,UPI,Indore,Normal
T0000222,P03125,P06753,38488,2025-02-07,Bank Transfer,Hyderabad,Normal
T0000223,P09256,P05830,843669,2025-11-23,Cash,Vadodara,Suspicious
T0000224,P00117,P00060,100198,2025-04-02,Cash,Surat,Normal
T0000225,P00545,P02760,20995,2025-07-09,Bank Transfer,Bengaluru,Normal
T0000226,P00535,P01627,34071,2025-01-19,Crypto,Rajkot,Normal
T0000227,P06669,P05894,85709,2025-01-17,Wallet,Jaipur,Normal
T0000228,P07686,P06566,680062,2025-11-30,UPI,Vadodara,Suspicious
T0000229,P01763,P09026,247135,2025-06-14,Bank Transfer,Surat,Normal
T0000230,P05923,P06770,192026,2025-08-13,Wallet,Mumbai,Normal
T0000231,P07444,P03659,23370,2025-02-19,Bank Transfer,Bengaluru,Normal
T0000232,P06995,P09270,328741,2025-05-10,Cash,Mumbai,Suspicious
T0000233,P07878,P06700,135636,2025-12-05,Bank Transfer,Kolkata,Normal
T0000234,P03250,P00580,218174,2025-06-30,Crypto,Jaipur,Normal
T0000235,P00627,P05876,52341,2025-10-29,Bank Transfer,Indore,Normal
T0000236,P09349,P06572,146129,2025-02-23,Bank Transfer,Bengaluru,Normal
T0000237,P08570,P00587,45334,2025-06-21,UPI,Rajkot,Normal
T0000238,P06272,P01205,24538,2025-04-21,UPI,Ahmedabad,Normal
T0000239,P07368,P02606,93974,2025-11-30,Cash,Mumbai,Suspicious
T0000240,P09307,P00032,91260,2025-09-14,Bank Transfer,Delhi,Normal
T0000241,P09846,P09678,43634,2025-05-02,Bank Transfer,Surat,Normal
T0000242,P00286,P06978,94121,2025-08-29,Wallet,Surat,Suspicious
T0000243,P06401,P03569,378091,2025-05-13,Bank Transfer,Hyderabad,Suspicious
T0000244,P01010,P04498,42903,2025-05-17,UPI,Jaipur,Normal
T0000245,P04473,P04254,14898,2025-12-06,Wallet,Delhi,Normal
T0000246,P07991,P06371,29152,2025-11-07,Bank Transfer,Hyderabad,Normal
T0000247,P03188,P03975,140890,2025-12-12,Bank Transfer,Jaipur,Normal
T0000248,P06612,P09622,32753,2025-08-19,Crypto,Ahmedabad,Suspicious
T0000249,P01487,P01113,127836,2025-07-02,UPI,Pune,Normal
T0000250,P03699,P04572,10241,2025-03-22,Bank Transfer,Hyderabad,Normal
T0000251,P02486,P04222,390232,2025-11-20,Bank Transfer,Vadodara,Suspicious
T0000252,P02974,P01475,72604,2025-10-04,UPI,Rajkot,Normal
T0000253,P09756,P03833,51421,2025-10-09,Cash,Vadodara,Normal
T0000254,P05768,P06570,19230,2025-03-17,Wallet,Ahmedabad,Normal
T0000255,P01957,P06464,12180,2025-07-31,UPI,Rajkot,Normal
T0000256,P02366,P06164,82152,2025-12-07,UPI,Delhi,Normal
T0000257,P09335,P05801,29670,2025-09-20,Wallet,Surat,Normal
T0000258,P03177,P08090,276001,2025-11-23,Bank Transfer,Kolkata,Normal
T0000259,P02303,P03076,46291,2025-09-14,UPI,Indore,Normal
T0000260,P07299,P02790,222341,2025-02-26,UPI,Indore,Suspicious
T0000261,P08917,P07580,321682,2025-09-19,UPI,Jaipur,Suspicious
T0000262,P06966,P03708,76815,2025-02-11,UPI,Surat,Suspicious
T0000263,P06697,P02785,18814,2025-10-27,Bank Transfer,Kolkata,Suspicious
T0000264,P04945,P09038,123336,2025-08-17,Crypto,Kolkata,Normal
T0000265,P00150,P08411,23441,2025-05-08,Crypto,Kolkata,Normal
T0000266,P05845,P04115,250499,2025-09-19,Bank Transfer,Indore,Normal
T0000267,P00908,P06350,328386,2025-12-30,Cash,Hyderabad,Suspicious
T0000268,P05533,P09224,246595,2025-01-26,Crypto,Indore,Normal
T0000269,P07085,P06928,91647,2025-01-10,UPI,Ahmedabad,Normal
T0000270,P07573,P04967,204417,2025-03-28,UPI,Pune,Normal
T0000271,P08425,P08825,265558,2025-12-25,Bank Transfer,Jaipur,Normal
T0000272,P05162,P01356,427078,2025-07-18,Bank Transfer,Jaipur,Suspicious
T0000273,P01734,P04943,382367,2025-05-10,UPI,Indore,Suspicious
T0000274,P07939,P06409,145919,2025-02-04,UPI,Delhi,Normal
T0000275,P09748,P00738,82750,2025-07-16,Bank Transfer,Delhi,Normal
T0000276,P01359,P07331,39763,2025-03-27,UPI,Mumbai,Normal
T0000277,P03883,P00566,501043,2025-03-19,UPI,Indore,Suspicious
T0000278,P03560,P08484,19046,2025-10-23,Cash,Mumbai,Normal
T0000279,P04325,P07024,57709,2025-05-25,Wallet,Rajkot,Normal
T0000280,P05209,P02266,312819,2025-09-24,UPI,Vadodara,Suspicious
T0000281,P01813,P01056,107747,2025-07-15,Bank Transfer,Delhi,Normal
T0000282,P05462,P00670,143607,2025-02-02,UPI,Kolkata,Normal
T0000283,P04907,P05758,257306,2025-07-02,Crypto,Ahmedabad,Normal
T0000284,P03880,P02864,775424,2025-11-19,UPI,Mumbai,Suspicious
T0000285,P05775,P02831,50799,2025-05-05,Bank Transfer,Ahmedabad,Normal
T0000286,P09628,P02408,105495,2025-08-25,UPI,Ahmedabad,Normal
T0000287,P08571,P01753,53827,2025-02-17,Crypto,Bengaluru,Normal
T0000288,P00554,P00001,60688,2025-12-03,Cash,Vadodara,Normal
T0000289,P03628,P03406,464719,2025-09-12,Cash,Delhi,Suspicious
T0000290,P07773,P07734,21632,2025-09-03,Bank Transfer,Pune,Normal
T0000291,P07234,P05824,36133,2025-06-02,UPI,Mumbai,Normal
T0000292,P08997,P01654,42890,2025-04-27,Cash,Surat,Normal
T0000293,P07753,P02130,122154,2025-10-06,Bank Transfer,Vadodara,Normal
T0000294,P08456,P05780,37048,2025-07-15,UPI,Pune,Normal
T0000295,P09118,P05928,37098,2025-11-08,UPI,Jaipur,Normal
T0000296,P09315,P09316,28653,2025-10-24,UPI,Hyderabad,Normal
T0000297,P06905,P01610,267258,2025-12-03,Bank Transfer,Ahmedabad,Normal
T0000298,P07978,P00186,18154,2025-02-19,UPI,Ahmedabad,Normal
T0000299,P09557,P09922,30426,2025-10-29,Bank Transfer,Bengaluru,Normal
T0000300,P03806,P08529,229615,2025-01-11,Bank Transfer,Ahmedabad,Normal
T0000301,P07208,P09835,535206,2025-02-13,Wallet,Surat,Suspicious
T0000302,P09529,P05472,52849,2025-01-21,Bank Transfer,Jaipur,Normal
T0000303,P09511,P04991,7290,2025-11-20,Bank Transfer,Ahmedabad,Normal
T0000304,P00369,P00594,80887,2025-10-17,Cash,Rajkot,Normal
T0000305,P09712,P05998,69899,2025-06-09,Bank Transfer,Bengaluru,Normal
T0000306,P00697,P07146,13970,2025-01-12,Bank Transfer,Ahmedabad,Normal
T0000307,P09244,P06352,535740,2025-07-24,UPI,Delhi,Suspicious
T0000308,P00536,P06574,45565,2025-08-13,Cash,Indore,Normal
T0000309,P07864,P04798,81011,2025-07-05,UPI,Mumbai,Normal
T0000310,P07669,P09573,121997,2025-09-06,Bank Transfer,Hyderabad,Normal
T0000311,P05957,P09612,86924,2025-08-13,Wallet,Jaipur,Normal
T0000312,P06732,P07695,91341,2025-02-28,Bank Transfer,Hyderabad,Normal
T0000313,P05408,P09299,59489,2025-10-21,Bank Transfer,Surat,Normal
T0000314,P02087,P03240,48666,2025-05-02,UPI,Rajkot,Normal
T0000315,P09972,P06157,20265,2025-09-18,UPI,Ahmedabad,Normal
T0000316,P08017,P03247,1058338,2025-10-22,UPI,Rajkot,Suspicious
T0000317,P02462,P09194,14385,2025-04-26,Bank Transfer,Surat,Normal
T0000318,P08709,P04729,10098,2025-09-30,UPI,Surat,Normal
T0000319,P06650,P02567,61322,2025-07-13,Bank Transfer,Delhi,Suspicious
T0000320,P02501,P06617,26976,2025-07-10,UPI,Hyderabad,Suspicious
T0000321,P09095,P09412,56096,2025-10-03,Bank Transfer,Vadodara,Normal
T0000322,P06477,P01707,53410,2025-02-23,UPI,Rajkot,Normal
T0000323,P01036,P06277,119432,2025-10-31,Cash,Delhi,Normal
T0000324,P04133,P02964,37385,2025-07-02,UPI,Vadodara,Normal
T0000325,P06217,P06527,51944,2025-08-03,Bank Transfer,Vadodara,Normal
T0000326,P04789,P05321,86569,2025-03-11,Cash,Surat,Normal
T0000327,P04704,P00137,143002,2025-12-16,Cash,Bengaluru,Normal
T0000328,P06767,P09306,206509,2025-01-12,Bank Transfer,Rajkot,Normal
T0000329,P08017,P03003,168196,2025-04-17,Bank Transfer,Ahmedabad,Normal
T0000330,P09684,P08053,152163,2025-05-28,UPI,Delhi,Normal
T0000331,P01382,P06821,16005,2025-10-06,Bank Transfer,Surat,Normal
T0000332,P09484,P08824,90214,2025-09-21,Bank Transfer,Pune,Normal
T0000333,P04212,P01145,150015,2025-03-29,Cash,Surat,Normal
T0000334,P09339,P07238,58882,2025-08-08,UPI,Rajkot,Normal
T0000335,P05361,P09497,1331400,2025-05-08,Cash,Kolkata,Suspicious
T0000336,P03744,P05814,54863,2025-06-03,UPI,Rajkot,Normal
T0000337,P07917,P06614,250895,2025-03-06,UPI,Surat,Normal
T0000338,P08041,P01880,29772,2025-12-10,UPI,Indore,Normal
T0000339,P01266,P02161,132922,2025-05-11,Crypto,Hyderabad,Normal
T0000340,P09840,P01255,264994,2025-03-29,UPI,Bengaluru,Normal
T0000341,P09392,P09870,261747,2025-11-18,Bank Transfer,Rajkot,Normal
T0000342,P04501,P08477,151693,2025-07-06,UPI,Kolkata,Normal
T0000343,P07408,P08788,355481,2025-12-03,Bank Transfer,Vadodara,Suspicious
T0000344,P08333,P07718,19384,2025-11-05,Bank Transfer,Rajkot,Normal
T0000345,P04110,P04482,47448,2025-11-02,Cash,Rajkot,Normal
T0000346,P08852,P02998,135450,2025-02-01,Bank Transfer,Vadodara,Normal
T0000347,P03354,P07511,342128,2025-01-21,Bank Transfer,Pune,Suspicious
T0000348,P07254,P03983,64633,2025-06-27,UPI,Kolkata,Normal
T0000349,P04783,P04505,53993,2025-10-02,Bank Transfer,Pune,Normal
T0000350,P04041,P02548,40893,2025-02-14,Cash,Mumbai,Normal
T0000351,P00673,P09135,4505,2025-06-29,Bank Transfer,Pune,Normal
T0000352,P01562,P01183,60648,2025-03-26,Crypto,Vadodara,Normal
T0000353,P01477,P05753,140147,2025-03-18,Cash,Indore,Normal
T0000354,P01157,P05093,3998,2025-12-20,Bank Transfer,Rajkot,Normal
T0000355,P06215,P08571,229361,2025-03-11,Bank Transfer,Rajkot,Normal
T0000356,P06292,P07335,24018,2025-07-30,Bank Transfer,Surat,Normal
T0000357,P02113,P08404,395735,2025-12-13,Cash,Hyderabad,Suspicious
T0000358,P07695,P01873,146752,2025-03-25,Crypto,Hyderabad,Normal
T0000359,P01170,P06758,18418,2025-02-08,UPI,Rajkot,Normal
